#time,cat_index,cat,V_level
0,0,Fluid,4
10,1,Defective,4
20,1,Defective,4
30,1,Defective,4
40,1,Defective,4
50,1,Defective,4
60,1,Defective,4
70,1,Defective,4
80,1,Defective,4
90,2,Crystal,4
100,2,Crystal,4
110,2,Crystal,4
120,2,Crystal,4
130,2,Crystal,4
140,2,Crystal,4
150,2,Crystal,4
160,2,Crystal,4
170,2,Crystal,4
180,2,Crystal,4
190,2,Crystal,4
200,2,Crystal,4
210,2,Crystal,4
220,2,Crystal,4
230,2,Crystal,4
240,2,Crystal,4
250,2,Crystal,4
260,2,Crystal,4
270,2,Crystal,4
280,2,Crystal,4
290,2,Crystal,4
300,2,Crystal,4
310,2,Crystal,4
320,2,Crystal,4
330,2,Crystal,4
340,2,Crystal,4
350,2,Crystal,4
360,2,Crystal,4
370,2,Crystal,4
380,2,Crystal,4
390,2,Crystal,4
400,2,Crystal,4
410,2,Crystal,4
420,2,Crystal,4
430,2,Crystal,4
440,2,Crystal,4
450,2,Crystal,4
460,2,Crystal,4
470,2,Crystal,4
480,2,Crystal,4
490,2,Crystal,4
500,2,Crystal,4
510,2,Crystal,4
520,2,Crystal,4
530,2,Crystal,4
540,2,Crystal,4
550,2,Crystal,4
560,2,Crystal,4
570,2,Crystal,4
580,2,Crystal,4
590,2,Crystal,4
600,2,Crystal,4
610,2,Crystal,4
620,2,Crystal,4
630,2,Crystal,4
640,2,Crystal,4
650,2,Crystal,4
660,2,Crystal,4
670,2,Crystal,4
680,2,Crystal,4
690,2,Crystal,4
700,2,Crystal,4
710,2,Crystal,4
720,2,Crystal,4
730,2,Crystal,4
740,2,Crystal,4
750,2,Crystal,4
760,2,Crystal,4
770,2,Crystal,4
780,2,Crystal,4
790,2,Crystal,4
800,2,Crystal,4
810,2,Crystal,4
820,2,Crystal,4
830,2,Crystal,4
840,2,Crystal,4
850,2,Crystal,4
860,2,Crystal,4
870,2,Crystal,4
880,2,Crystal,4
890,2,Crystal,4
900,2,Crystal,4
910,2,Crystal,4
920,2,Crystal,4
930,2,Crystal,4
940,2,Crystal,4
950,2,Crystal,4
960,2,Crystal,4
970,2,Crystal,4
980,2,Crystal,4
990,2,Crystal,4
