#time,cat_index,cat,V_level
0,0,Fluid,1
10,1,Defective,2
20,1,Defective,4
30,1,Defective,3
40,1,Defective,1
50,1,Defective,3
60,1,Defective,4
70,1,Defective,1
80,1,Defective,2
90,1,Defective,2
100,1,Defective,4
110,1,Defective,3
120,1,Defective,4
130,1,Defective,3
140,1,Defective,2
150,1,Defective,4
160,1,Defective,3
170,1,Defective,3
180,1,Defective,4
190,1,Defective,4
200,1,Defective,3
210,1,Defective,4
220,1,Defective,3
230,1,Defective,3
240,1,Defective,4
250,1,Defective,3
260,1,Defective,2
270,1,Defective,1
280,1,Defective,2
290,1,Defective,2
300,1,Defective,4
310,1,Defective,2
320,1,Defective,1
330,1,Defective,1
340,1,Defective,2
350,1,Defective,2
360,0,Fluid,4
370,2,Crystal,3
380,1,Defective,3
390,1,Defective,1
400,1,Defective,3
410,0,Fluid,4
420,1,Defective,4
430,1,Defective,3
440,1,Defective,1
450,1,Defective,4
460,1,Defective,2
470,1,Defective,4
480,1,Defective,2
490,1,Defective,1
500,1,Defective,4
510,1,Defective,4
520,1,Defective,2
530,1,Defective,4
540,1,Defective,1
550,1,Defective,3
560,1,Defective,4
570,1,Defective,3
580,1,Defective,3
590,1,Defective,2
600,1,Defective,1
610,1,Defective,2
620,0,Fluid,2
630,0,Fluid,3
640,1,Defective,1
650,0,Fluid,1
660,0,Fluid,1
670,0,Fluid,3
680,0,Fluid,2
690,0,Fluid,3
700,0,Fluid,4
710,1,Defective,1
720,1,Defective,4
730,1,Defective,3
740,1,Defective,4
750,1,Defective,1
760,1,Defective,3
770,1,Defective,2
780,1,Defective,1
790,1,Defective,2
800,0,Fluid,3
810,0,Fluid,2
820,0,Fluid,3
830,0,Fluid,1
840,0,Fluid,2
850,0,Fluid,1
860,0,Fluid,4
870,1,Defective,3
880,1,Defective,3
890,1,Defective,1
900,1,Defective,4
910,1,Defective,3
920,1,Defective,2
930,1,Defective,4
940,1,Defective,1
950,1,Defective,2
960,1,Defective,2
970,0,Fluid,2
980,0,Fluid,4
990,1,Defective,3
