#time,cat_index,cat,V_level
0,0,Fluid,4
5,0,Fluid,4
10,1,Defective,4
15,1,Defective,4
20,1,Defective,4
25,1,Defective,4
30,1,Defective,4
35,1,Defective,4
40,1,Defective,4
45,1,Defective,4
50,1,Defective,4
55,1,Defective,4
60,1,Defective,4
65,1,Defective,4
70,1,Defective,4
75,1,Defective,4
80,1,Defective,4
85,2,Crystal,4
90,2,Crystal,4
95,2,Crystal,4
100,2,Crystal,4
105,2,Crystal,4
110,2,Crystal,4
115,2,Crystal,4
120,2,Crystal,4
125,2,Crystal,4
130,2,Crystal,4
135,2,Crystal,4
140,2,Crystal,4
145,2,Crystal,4
150,2,Crystal,4
155,2,Crystal,4
160,2,Crystal,4
165,2,Crystal,4
170,2,Crystal,4
175,2,Crystal,4
180,2,Crystal,4
185,2,Crystal,4
190,2,Crystal,4
195,2,Crystal,4
200,2,Crystal,4
205,2,Crystal,4
210,2,Crystal,4
215,2,Crystal,4
220,2,Crystal,4
225,2,Crystal,4
230,2,Crystal,4
235,2,Crystal,4
240,2,Crystal,4
245,2,Crystal,4
250,2,Crystal,4
255,2,Crystal,4
260,2,Crystal,4
265,2,Crystal,4
270,2,Crystal,4
275,2,Crystal,4
280,2,Crystal,4
285,2,Crystal,4
290,2,Crystal,4
295,2,Crystal,4
300,2,Crystal,4
305,2,Crystal,4
310,2,Crystal,4
315,2,Crystal,4
320,2,Crystal,4
325,2,Crystal,4
330,2,Crystal,4
335,2,Crystal,4
340,2,Crystal,4
345,2,Crystal,4
350,2,Crystal,4
355,2,Crystal,4
360,2,Crystal,4
365,2,Crystal,4
370,2,Crystal,4
375,2,Crystal,4
380,2,Crystal,4
385,2,Crystal,4
390,2,Crystal,4
395,2,Crystal,4
400,2,Crystal,4
405,2,Crystal,4
410,2,Crystal,4
415,2,Crystal,4
420,2,Crystal,4
425,2,Crystal,4
430,2,Crystal,4
435,2,Crystal,4
440,2,Crystal,4
445,2,Crystal,4
450,2,Crystal,4
455,2,Crystal,4
460,2,Crystal,4
465,2,Crystal,4
470,2,Crystal,4
475,2,Crystal,4
480,2,Crystal,4
485,2,Crystal,4
490,2,Crystal,4
495,2,Crystal,4
500,2,Crystal,4
505,2,Crystal,4
510,2,Crystal,4
515,2,Crystal,4
520,2,Crystal,4
525,2,Crystal,4
530,2,Crystal,4
535,2,Crystal,4
540,2,Crystal,4
545,2,Crystal,4
550,2,Crystal,4
555,2,Crystal,4
560,2,Crystal,4
565,2,Crystal,4
570,2,Crystal,4
575,2,Crystal,4
580,2,Crystal,4
585,2,Crystal,4
590,2,Crystal,4
595,2,Crystal,4
600,2,Crystal,4
605,2,Crystal,4
610,2,Crystal,4
615,2,Crystal,4
620,2,Crystal,4
625,2,Crystal,4
630,2,Crystal,4
635,2,Crystal,4
640,2,Crystal,4
645,2,Crystal,4
650,2,Crystal,4
655,2,Crystal,4
660,2,Crystal,4
665,2,Crystal,4
670,2,Crystal,4
675,2,Crystal,4
680,2,Crystal,4
685,2,Crystal,4
690,2,Crystal,4
695,2,Crystal,4
700,2,Crystal,4
705,2,Crystal,4
710,2,Crystal,4
715,2,Crystal,4
720,2,Crystal,4
725,2,Crystal,4
730,2,Crystal,4
735,2,Crystal,4
740,2,Crystal,4
745,2,Crystal,4
750,2,Crystal,4
755,2,Crystal,4
760,2,Crystal,4
765,2,Crystal,4
770,2,Crystal,4
775,2,Crystal,4
780,2,Crystal,4
785,2,Crystal,4
790,2,Crystal,4
795,2,Crystal,4
800,2,Crystal,4
805,2,Crystal,4
810,2,Crystal,4
815,2,Crystal,4
820,2,Crystal,4
825,2,Crystal,4
830,2,Crystal,4
835,2,Crystal,4
840,2,Crystal,4
845,2,Crystal,4
850,2,Crystal,4
855,2,Crystal,4
860,2,Crystal,4
865,2,Crystal,4
870,2,Crystal,4
875,2,Crystal,4
880,2,Crystal,4
885,2,Crystal,4
890,2,Crystal,4
895,2,Crystal,4
900,2,Crystal,4
905,2,Crystal,4
910,2,Crystal,4
915,2,Crystal,4
920,2,Crystal,4
925,2,Crystal,4
930,2,Crystal,4
935,2,Crystal,4
940,2,Crystal,4
945,2,Crystal,4
950,2,Crystal,4
955,2,Crystal,4
960,2,Crystal,4
965,2,Crystal,4
970,2,Crystal,4
975,2,Crystal,4
980,2,Crystal,4
985,2,Crystal,4
990,2,Crystal,4
995,2,Crystal,4
