#time,cat_index,cat,V_level
0,0,Fluid,4
10,1,Defective,1
20,1,Defective,1
30,1,Defective,1
40,0,Fluid,1
50,0,Fluid,1
60,0,Fluid,1
70,0,Fluid,1
80,0,Fluid,4
90,1,Defective,3
100,1,Defective,2
110,1,Defective,2
120,1,Defective,1
130,0,Fluid,3
140,1,Defective,4
150,1,Defective,2
160,1,Defective,3
170,1,Defective,4
180,1,Defective,4
190,1,Defective,1
200,1,Defective,3
210,1,Defective,2
220,1,Defective,1
230,1,Defective,4
240,1,Defective,4
250,1,Defective,1
260,1,Defective,1
270,1,Defective,2
280,1,Defective,3
290,1,Defective,2
300,1,Defective,2
310,0,Fluid,1
320,0,Fluid,2
330,0,Fluid,2
340,0,Fluid,2
350,0,Fluid,2
360,0,Fluid,2
370,0,Fluid,4
380,1,Defective,2
390,1,Defective,3
400,1,Defective,4
410,1,Defective,1
420,1,Defective,1
430,1,Defective,3
440,1,Defective,4
450,1,Defective,3
460,1,Defective,3
470,1,Defective,2
480,1,Defective,3
490,1,Defective,3
500,1,Defective,1
510,1,Defective,3
520,0,Fluid,2
530,0,Fluid,2
540,0,Fluid,1
550,0,Fluid,4
560,1,Defective,1
570,1,Defective,3
580,1,Defective,4
590,1,Defective,2
600,1,Defective,2
610,1,Defective,1
620,1,Defective,3
630,1,Defective,4
640,2,Crystal,2
650,1,Defective,3
660,1,Defective,1
670,1,Defective,2
680,1,Defective,2
690,0,Fluid,3
700,0,Fluid,4
710,1,Defective,4
720,1,Defective,4
730,1,Defective,2
740,1,Defective,4
750,1,Defective,1
760,1,Defective,3
770,1,Defective,4
780,1,Defective,4
790,1,Defective,3
800,1,Defective,3
810,1,Defective,1
820,1,Defective,2
830,1,Defective,4
840,1,Defective,1
850,1,Defective,2
860,1,Defective,1
870,0,Fluid,3
880,1,Defective,3
890,0,Fluid,2
900,0,Fluid,4
910,1,Defective,3
920,1,Defective,1
930,1,Defective,2
940,1,Defective,1
950,0,Fluid,2
960,0,Fluid,1
970,0,Fluid,4
980,1,Defective,3
990,1,Defective,1
