#time,cat_index,cat,V_level
0,0,Fluid,0
10,1,Defective,1
20,1,Defective,1
30,1,Defective,1
40,0,Fluid,1
50,0,Fluid,3
60,0,Fluid,1
70,0,Fluid,1
80,0,Fluid,4
90,1,Defective,2
100,1,Defective,2
110,1,Defective,2
120,1,Defective,4
130,1,Defective,1
140,1,Defective,3
150,1,Defective,4
160,1,Defective,3
170,1,Defective,1
180,1,Defective,2
190,1,Defective,4
200,1,Defective,2
210,1,Defective,3
220,1,Defective,3
230,1,Defective,3
240,1,Defective,4
250,1,Defective,4
260,1,Defective,1
270,1,Defective,4
280,1,Defective,1
290,1,Defective,4
300,1,Defective,2
310,1,Defective,2
320,1,Defective,2
330,1,Defective,4
340,1,Defective,3
350,1,Defective,3
360,1,Defective,3
370,1,Defective,1
380,0,Fluid,4
390,1,Defective,1
400,1,Defective,3
410,1,Defective,1
420,1,Defective,4
430,1,Defective,4
440,1,Defective,4
450,1,Defective,1
460,1,Defective,3
470,1,Defective,4
480,1,Defective,4
490,1,Defective,3
500,1,Defective,3
510,1,Defective,1
520,1,Defective,1
530,0,Fluid,1
540,0,Fluid,2
550,0,Fluid,4
560,1,Defective,1
570,1,Defective,2
580,1,Defective,3
590,1,Defective,3
600,1,Defective,3
610,1,Defective,2
620,0,Fluid,1
630,0,Fluid,2
640,0,Fluid,1
650,0,Fluid,2
660,0,Fluid,4
670,1,Defective,4
680,1,Defective,1
690,1,Defective,4
700,1,Defective,2
710,1,Defective,1
720,1,Defective,3
730,1,Defective,1
740,0,Fluid,4
750,1,Defective,2
760,1,Defective,2
770,1,Defective,3
780,1,Defective,1
790,0,Fluid,3
800,0,Fluid,2
810,0,Fluid,4
820,1,Defective,1
830,1,Defective,3
840,1,Defective,2
850,1,Defective,4
860,1,Defective,4
870,1,Defective,1
880,1,Defective,4
890,1,Defective,2
900,1,Defective,2
910,1,Defective,1
920,1,Defective,1
930,1,Defective,2
940,0,Fluid,3
950,1,Defective,1
960,0,Fluid,3
970,0,Fluid,3
980,0,Fluid,2
990,0,Fluid,3
